"start_of_operation","total_loads"
2023-01-02,95
2023-01-03,92
2023-01-04,92
2023-01-05,100
2023-01-06,92
2023-01-07,25
2023-01-08,61
2023-01-09,109
2023-01-10,101
2023-01-11,92
2023-01-12,93
2023-01-13,87
2023-01-15,80
2023-01-16,92
2023-01-17,98
2023-01-18,90
2023-01-19,91
2023-01-20,93
2023-01-21,20
2023-01-22,63
2023-01-23,96
2023-01-24,90
2023-01-25,91
2023-01-26,85
2023-01-27,99
2023-01-28,36
2023-01-29,45
2023-01-30,87
2023-01-31,131
2023-02-01,106
2023-02-02,96
2023-02-03,84
2023-02-04,27
2023-02-05,6
2023-02-06,76
2023-02-07,85
2023-02-08,98
2023-02-09,105
2023-02-10,89
2023-02-12,64
2023-02-13,111
2023-02-14,97
2023-02-15,100
2023-02-16,119
2023-02-17,101
2023-02-18,77
2023-02-20,18
2023-02-21,70
2023-02-22,87
2023-02-23,107
2023-02-24,87
2023-02-25,11
2023-02-26,53
2023-02-27,89
2023-02-28,91
2023-03-01,91
2023-03-02,99
2023-03-03,92
2023-03-04,21
2023-03-05,54
2023-03-06,86
2023-03-07,107
2023-03-08,88
2023-03-09,100
2023-03-10,82
2023-03-12,120
2023-03-13,119
2023-03-14,90
2023-03-15,83
2023-03-16,92
2023-03-17,77
2023-03-19,81
2023-03-20,90
2023-03-21,75
2023-03-22,106
2023-03-23,87
2023-03-24,99
2023-03-27,90
2023-03-28,68
2023-03-29,89
2023-03-30,79
2023-03-31,83
2023-04-01,10
2023-04-02,58
2023-04-03,77
2023-04-04,92
2023-04-05,89
2023-04-06,74
2023-04-08,12
2023-04-09,77
2023-04-10,73
2023-04-11,62
2023-04-12,99
2023-04-13,87
2023-04-14,83
2023-04-16,107
2023-04-17,78
2023-04-18,93
2023-04-19,100
2023-04-20,108
2023-04-22,14
2023-04-23,76
2023-04-24,92
2023-04-25,134
2023-04-26,92
2023-04-27,108
2023-04-28,95
2023-04-29,45
2023-05-02,111
2023-05-03,106
2023-05-04,121
2023-05-05,97
2023-05-07,88
2023-05-08,86
2023-05-09,105
2023-05-10,105
2023-05-11,106
2023-05-12,100
2023-05-13,11
2023-05-14,73
2023-05-15,86
2023-05-16,106
2023-05-17,107
2023-05-18,109
2023-05-19,98
2023-05-20,3
2023-05-21,87
2023-05-22,94
2023-05-23,111
2023-05-24,130
2023-05-25,95
2023-05-26,112
2023-05-27,9
2023-05-28,67
2023-05-29,93
2023-05-30,103
2023-05-31,89
2023-06-01,125
2023-06-02,88
2023-06-03,11
2023-06-04,68
2023-06-05,119
2023-06-06,93
2023-06-07,124
2023-06-09,109
2023-06-10,6
2023-06-11,98
2023-06-12,110
2023-06-13,93
2023-06-14,118
2023-06-15,105
2023-06-16,106
2023-06-17,9
2023-06-18,90
2023-06-19,90
2023-06-20,116
2023-06-21,100
2023-06-22,104
2023-06-23,108
2023-06-24,7
2023-06-25,88
2023-06-26,98
2023-06-27,120
2023-06-28,100
2023-06-29,96
2023-06-30,93
2023-07-01,19
2023-07-02,47
2023-07-03,96
2023-07-04,103
2023-07-05,104
2023-07-06,109
2023-07-07,88
2023-07-08,68
2023-07-10,128
2023-07-11,118
2023-07-12,88
2023-07-13,105
2023-07-14,108
2023-07-15,8
2023-07-16,58
2023-07-17,120
2023-07-18,113
2023-07-19,91
2023-07-20,115
2023-07-21,89
2023-07-22,17
2023-07-23,68
2023-07-24,128
2023-07-25,94
2023-07-26,113
2023-07-27,103
2023-07-28,104
2023-07-29,18
2023-07-30,56
2023-07-31,114
2023-08-01,108
2023-08-02,102
2023-08-03,101
2023-08-04,121
2023-08-05,13
2023-08-06,84
2023-08-07,136
2023-08-08,142
2023-08-09,136
2023-08-10,138
2023-08-11,129
2023-08-12,106
2023-08-14,7
2023-08-15,118
2023-08-16,122
2023-08-17,135
2023-08-18,116
2023-08-19,48
2023-08-20,67
2023-08-21,104
2023-08-22,134
2023-08-23,138
2023-08-24,130
2023-08-25,111
2023-08-26,32
2023-08-27,62
2023-08-28,138
2023-08-29,130
2023-08-30,146
2023-08-31,120
2023-09-01,113
2023-09-02,18
2023-09-03,66
2023-09-04,128
2023-09-05,158
2023-09-06,145
2023-09-07,26
2023-09-08,127
2023-09-09,8
2023-09-10,97
2023-09-11,142
2023-09-12,184
2023-09-13,92
2023-09-14,139
2023-09-15,123
2023-09-16,36
2023-09-17,72
2023-09-18,130
2023-09-19,147
2023-09-20,118
2023-09-21,132
2023-09-22,138
2023-09-23,29
2023-09-24,65
2023-09-25,130
2023-09-26,132
2023-09-27,184
2023-09-28,144
2023-09-29,140
2023-09-30,31
2023-10-01,71
2023-10-02,134
2023-10-03,120
2023-10-04,140
2023-10-05,119
2023-10-06,127
2023-10-07,4
2023-10-08,102
2023-10-09,142
2023-10-10,153
2023-10-11,143
2023-10-12,9
2023-10-13,145
2023-10-14,27
2023-10-15,97
2023-10-16,143
2023-10-17,165
2023-10-18,147
2023-10-19,124
2023-10-20,114
2023-10-21,31
2023-10-22,85
2023-10-23,121
2023-10-24,155
2023-10-25,143
2023-10-26,153
2023-10-27,132
2023-10-28,11
2023-10-29,80
2023-10-30,142
2023-10-31,150
2023-11-01,120
2023-11-03,118
2023-11-04,92
2023-11-06,153
2023-11-07,141
2023-11-08,133
2023-11-09,129
2023-11-10,99
2023-11-11,69
2023-11-12,59
2023-11-13,175
2023-11-14,119
2023-11-16,214
2023-11-17,125
2023-11-18,124
2023-11-20,209
2023-11-21,164
2023-11-22,128
2023-11-23,155
2023-11-24,106
2023-11-25,94
2023-11-27,145
2023-11-28,117
2023-11-29,119
2023-11-30,135
2023-12-01,108
2023-12-02,67
2023-12-04,164
2023-12-05,146
2023-12-06,150
2023-12-07,152
2023-12-08,96
2023-12-09,21
2023-12-10,119
2023-12-11,138
2023-12-12,133
2023-12-13,135
2023-12-14,154
2023-12-15,119
2023-12-16,93
2023-12-18,192
2023-12-19,137
2023-12-20,152
2023-12-21,138
2023-12-22,117
2023-12-23,84
2023-12-25,19
2023-12-26,175
2023-12-27,158
2023-12-28,118
2023-12-29,110
2024-01-02,148
2024-01-03,106
2024-01-04,124
2024-01-05,94
2024-01-07,91
2024-01-08,150
2024-01-09,137
2024-01-10,134
2024-01-11,118
2024-01-12,109
2024-01-13,79
2024-01-15,146
2024-01-16,124
2024-01-17,104
2024-01-18,116
2024-01-19,95
2024-01-20,88
2024-01-22,141
2024-01-23,122
2024-01-24,134
2024-01-25,114
2024-01-26,107
2024-01-27,85
2024-01-29,155
2024-01-30,116
2024-01-31,133
2024-02-01,118
2024-02-02,93
2024-02-03,93
2024-02-05,148
2024-02-06,142
2024-02-07,142
2024-02-08,138
2024-02-09,107
2024-02-10,67
2024-02-12,1
2024-02-13,114
2024-02-14,126
2024-02-15,113
2024-02-16,102
2024-02-18,77
2024-02-19,164
2024-02-20,136
2024-02-21,118
2024-02-22,111
2024-02-23,108
2024-02-24,51
2024-02-26,157
2024-02-27,143
2024-02-28,96
2024-02-29,111
2024-03-01,96
2024-03-02,27
2024-03-04,155
2024-03-05,124
2024-03-06,131
2024-03-07,112
2024-03-08,70
2024-03-09,65
2024-03-11,166
2024-03-12,125
2024-03-13,120
2024-03-14,117
2024-03-15,98
2024-03-16,42
2024-03-18,111
2024-03-20,164
2024-03-21,114
2024-03-22,106
2024-03-23,68
2024-03-25,157
2024-03-26,144
2024-03-27,113
2024-03-28,97
2024-03-30,38
2024-04-01,146
2024-04-02,136
2024-04-03,125
2024-04-04,102
2024-04-05,81
2024-04-06,44
2024-04-08,153
2024-04-09,124
2024-04-10,123
2024-04-11,116
2024-04-13,40
2024-04-15,147
2024-04-16,114
2024-04-17,130
2024-04-18,108
2024-04-19,86
2024-04-20,49
2024-04-22,126
2024-04-23,143
2024-04-24,119
2024-04-25,118
2024-04-26,69
2024-04-27,49
2024-04-29,117
2024-04-30,124
2024-05-02,129
2024-05-03,106
2024-05-04,65
2024-05-06,149
2024-05-07,115
2024-05-08,110
2024-05-09,101
2024-05-10,83
2024-05-11,46
2024-05-12,36
2024-05-13,131
2024-05-14,129
2024-05-15,131
2024-05-16,111
2024-05-17,83
2024-05-18,94
2024-05-20,154
2024-05-21,127
2024-05-22,121
2024-05-23,104
2024-05-25,16
2024-05-26,118
2024-05-27,137
2024-05-28,126
2024-05-29,105
2024-05-31,22
2024-06-01,8
2024-06-02,120
2024-06-03,125
2024-06-04,138
2024-06-05,130
2024-06-06,117
2024-06-07,24
2024-06-08,1
2024-06-09,128
2024-06-10,131
2024-06-11,132
2024-06-12,127
2024-06-13,110
2024-06-15,21
2024-06-16,108
2024-06-17,131
2024-06-18,128
2024-06-19,128
2024-06-20,104
2024-06-22,5
2024-06-23,112
2024-06-24,102
2024-06-25,131
2024-06-26,170
2024-06-27,122
2024-06-29,3
2024-06-30,96
2024-07-01,136
2024-07-02,140
2024-07-03,124
2024-07-04,113
2024-07-06,99
2024-07-08,188
2024-07-09,121
2024-07-10,118
2024-07-11,112
2024-07-13,6
2024-07-14,111
2024-07-15,125
2024-07-16,127
2024-07-17,120
2024-07-18,99
2024-07-19,4
2024-07-21,128
2024-07-22,131
2024-07-23,127
2024-07-24,133
2024-07-25,119
2024-07-26,5
2024-07-27,6
2024-07-28,117
2024-07-29,134
2024-07-30,120
2024-07-31,114
2024-08-01,110
2024-08-03,10
2024-08-04,91
2024-08-05,169
2024-08-06,152
2024-08-07,130
2024-08-08,119
2024-08-09,7
2024-08-11,95
2024-08-12,164
2024-08-13,133
2024-08-14,97
2024-08-15,100
2024-08-17,3
2024-08-18,118
2024-08-19,131
2024-08-20,126
2024-08-21,111
2024-08-22,122
2024-08-23,28
2024-08-25,117
2024-08-26,103
2024-08-27,112
2024-08-28,113
2024-08-29,97
2024-08-31,4
2024-09-01,121
2024-09-02,124
2024-09-03,130
2024-09-04,106
2024-09-05,104
2024-09-06,1
2024-09-08,127
2024-09-09,109
2024-09-10,126
2024-09-11,111
2024-09-12,107
2024-09-15,123
2024-09-16,103
2024-09-17,122
2024-09-18,134
2024-09-19,99
2024-09-20,11
2024-09-21,4
2024-09-22,84
2024-09-23,144
2024-09-24,130
2024-09-25,102
2024-09-26,93
2024-09-27,53
2024-09-29,81
2024-09-30,108
2024-10-01,131
2024-10-02,111
2024-10-03,123
2024-10-04,83
2024-10-07,127
2024-10-08,94
2024-10-09,108
2024-10-10,109
2024-10-12,2
2024-10-13,107
2024-10-14,104
2024-10-15,101
2024-10-16,116
2024-10-17,101
2024-10-18,14
2024-10-20,102
2024-10-21,106
2024-10-22,108
2024-10-23,116
2024-10-24,111
2024-10-26,7
2024-10-27,109
2024-10-28,105
2024-10-29,118
2024-10-30,99
2024-10-31,117
2024-11-02,3
2024-11-03,104
2024-11-04,123
2024-11-05,117
2024-11-06,115
2024-11-07,108
2024-11-08,16
2024-11-10,113
2024-11-11,112
2024-11-12,118
2024-11-13,120
2024-11-14,69
2024-11-16,3
2024-11-17,83
2024-11-18,116
2024-11-19,115
2024-11-20,125
2024-11-21,116
2024-11-22,43
2024-11-24,137
2024-11-25,110
2024-11-26,130
2024-11-27,114
2024-11-28,115
2024-11-29,6
2024-12-01,103
2024-12-02,133
2024-12-03,116
2024-12-04,103
2024-12-05,131
2024-12-08,91
2024-12-09,152
2024-12-10,129
2024-12-11,137
2024-12-12,106
2024-12-13,52
2024-12-15,121
2024-12-16,136
2024-12-17,102
2024-12-18,171
2024-12-19,135
2024-12-20,88
2024-12-22,135
2024-12-23,144
2024-12-25,117
2024-12-26,132
2024-12-27,95
2024-12-29,123
2024-12-30,108
2025-01-02,124
2025-01-03,33
2025-01-05,124
2025-01-06,104
2025-01-07,107
2025-01-08,112
2025-01-09,121
2025-01-12,111
2025-01-13,114
2025-01-14,117
2025-01-15,120
2025-01-16,125
2025-01-17,92
2025-01-20,151
2025-01-21,111
2025-01-22,121
2025-01-23,99
2025-01-26,106
2025-01-27,124
2025-01-28,101
2025-01-29,96
2025-01-30,99
2025-02-02,123
2025-02-03,111
2025-02-04,118
2025-02-05,128
2025-02-06,118
2025-02-08,93
2025-02-10,124
2025-02-11,150
2025-02-12,130
2025-02-13,113
2025-02-15,13
2025-02-16,128
2025-02-17,98
2025-02-18,119
2025-02-19,113
2025-02-20,107
2025-02-22,20
2025-02-23,79
2025-02-24,108
